"variable","level","smd_before","smd_after","abs_smd_before","abs_smd_after"
"age","",-0.0613524594126567,-0.0032388334124553,0.0613524594126567,0.0032388334124553
"alb1","",-0.229919895472239,-0.00983970832796536,0.229919895472239,0.00983970832796536
"amihx","",0.0742799779224837,0.0146815445764138,0.0742799779224837,0.0146815445764138
"aps1","",0.501401941377612,0.0045071325153117,0.501401941377612,0.0045071325153117
"bili1","",0.144612601612053,0.0143008307717363,0.144612601612053,0.0143008307717363
"ca","Metastatic",-0.0697705761153837,-0.038247338856146,0.0697705761153837,0.038247338856146
"ca","No",0.104293544802329,0.0210664852680235,0.104293544802329,0.0210664852680235
"ca","Yes",-0.0718403569497112,0.00170579708789217,0.0718403569497112,0.00170579708789217
"card","No",-0.294929197496592,-0.0118272539950277,0.294929197496592,0.0118272539950277
"card","Yes",0.294929197496592,0.0118272539950275,0.294929197496592,0.0118272539950275
"cardiohx","",0.115617855220083,0.00635513784963579,0.115617855220083,0.00635513784963579
"cat1","ARF",-0.0586154649528398,-0.0308723448975258,0.0586154649528398,0.0308723448975258
"cat1","CHF",0.0950269990463909,-0.00830371654171863,0.0950269990463909,0.00830371654171863
"cat1","Cirrhosis",-0.144734479669377,0,0.144734479669377,0
"cat1","Colon Cancer",-0.03761157935442,0.0357713646794482,0.03761157935442,0.0357713646794482
"cat1","Coma",-0.207277582298349,-0.00853268106640311,0.207277582298349,0.00853268106640311
"cat1","COPD",-0.342363738124476,0.0208283000301488,0.342363738124476,0.0208283000301488
"cat1","Lung Cancer",-0.094964690622075,0,0.094964690622075,0
"cat1","MOSF w/Malignancy",0.0175283926639678,0.0164163131068647,0.0175283926639678,0.0164163131068647
"cat1","MOSF w/Sepsis",0.414796515242036,0.0253830888126114,0.414796515242036,0.0253830888126114
"chfhx","",0.0694917384769087,-0.00641603716349578,0.0694917384769087,0.00641603716349578
"chrpulhx","",-0.192321681207736,0.00706047017180692,0.192321681207736,0.00706047017180692
"crea1","",0.269623582926767,-0.0139857081553692,0.269623582926767,0.0139857081553692
"das2d3pc","",0.0625833810283827,-0.0171859529440802,0.0625833810283827,0.0171859529440802
"dementhx","",-0.16312934390563,0.019146773983315,0.16312934390563,0.019146773983315
"dnr1","No",0.227599963044573,0.0161292675005921,0.227599963044573,0.0161292675005921
"dnr1","Yes",-0.227599963044573,-0.0161292675005924,0.227599963044573,0.0161292675005924
"edu","",0.0913685823294806,-0.00902096455951607,0.0913685823294806,0.00902096455951607
"gastr","No",-0.120909968307321,0.00167140433202324,0.120909968307321,0.00167140433202324
"gastr","Yes",0.120909968307321,-0.00167140433202346,0.120909968307321,0.00167140433202346
"gibledhx","",-0.0704358169500157,-0.00380444897543629,0.0704358169500157,0.00380444897543629
"hema","No",0.0617124495624627,0.0107078533579513,0.0617124495624627,0.0107078533579513
"hema","Yes",-0.0617124495624629,-0.0107078533579515,0.0617124495624629,0.0107078533579515
"hema1","",-0.269301252541651,0.0147979841009178,0.269301252541651,0.0147979841009178
"hrt1","",0.146944811187812,-0.00731362939218555,0.146944811187812,0.00731362939218555
"immunhx","",0.0803524785745978,0.0298995291224265,0.0803524785745978,0.0298995291224265
"income","$11-$25k",0.0153154475901602,0.018828078439024,0.0153154475901602,0.018828078439024
"income","$25-$50k",0.106792787956857,-0.0103859008765572,0.106792787956857,0.0103859008765572
"income","> $50k",0.0604591606914468,0.0115207217423623,0.0604591606914468,0.0115207217423623
"income","Under $11k",-0.124505351638757,-0.0141217939759266,0.124505351638757,0.0141217939759266
"liverhx","",-0.0489367963385493,-0.0101752229226684,0.0489367963385493,0.0101752229226684
"malighx","",-0.101423461075322,-0.0243305930837836,0.101423461075322,0.0243305930837836
"meanbp1","",-0.455095921347744,-0.00391085574196534,0.455095921347744,0.00391085574196534
"meta","No",0.0280883456271067,-0.021288677839707,0.0280883456271067,0.021288677839707
"meta","Yes",-0.0280883456271067,0.021288677839707,0.0280883456271067,0.021288677839707
"neuro","No",0.35297589895474,-0.0230473515263214,0.35297589895474,0.0230473515263214
"neuro","Yes",-0.35297589895474,0.0230473515263212,0.35297589895474,0.0230473515263212
"ninsclas","Medicaid",-0.127380928204317,0.010873489760828,0.127380928204317,0.010873489760828
"ninsclas","Medicare",-0.0755498710663705,0.00897023100822987,0.0755498710663705,0.00897023100822987
"ninsclas","Medicare & Medicaid",-0.0589236203622331,-0.0242742008165314,0.0589236203622331,0.0242742008165314
"ninsclas","No insurance",0.0425522205946968,0.00830217724198545,0.0425522205946968,0.00830217724198545
"ninsclas","Private",0.135983350921209,-0.00961665493737655,0.135983350921209,0.00961665493737655
"ninsclas","Private & Medicare",0.0346226764922979,0.00304408298792047,0.0346226764922979,0.00304408298792047
"ortho","No",-0.0269873004528926,0.0206570157380846,0.0269873004528926,0.0206570157380846
"ortho","Yes",0.0269873004528925,-0.020657015738084,0.0269873004528925,0.020657015738084
"paco21","",-0.248593796101278,-0.00862153076747954,0.248593796101278,0.00862153076747954
"pafi1","",-0.433242361031557,0.00199733712493492,0.433242361031557,0.00199733712493492
"ph1","",-0.119799553938985,-0.0139267703616216,0.119799553938985,0.0139267703616216
"pot1","",-0.0270574626215472,0.0106527894899238,0.0270574626215472,0.0106527894899238
"psychhx","",-0.14320647260874,-0.0225648260580468,0.14320647260874,0.0225648260580468
"race","black",-0.0310423381535591,-0.00709640200128279,0.0310423381535591,0.00709640200128279
"race","other",0.0207985113263756,0.00254935823851103,0.0207985113263756,0.00254935823851103
"race","white",0.015212727291588,0.0046240756568904,0.015212727291588,0.0046240756568904
"renal","No",-0.116253081710901,0.00821550010473936,0.116253081710901,0.00821550010473936
"renal","Yes",0.116253081710901,-0.00821550010473963,0.116253081710901,0.00821550010473963
"renalhx","",0.0316309431656019,-0.00868142631197389,0.0316309431656019,0.00868142631197389
"resp","No",0.269513444034441,0.0431265181443366,0.269513444034441,0.0431265181443366
"resp","Yes",-0.269513444034441,-0.0431265181443365,0.269513444034441,0.0431265181443365
"resp1","",-0.16546072272638,-0.00823978004590895,0.16546072272638,0.00823978004590895
"scoma1","",-0.109838171977155,0.0093112609926002,0.109838171977155,0.0093112609926002
"seps","No",-0.233796704635352,-0.01719226641799,0.233796704635352,0.01719226641799
"seps","Yes",0.233796704635352,0.01719226641799,0.233796704635352,0.01719226641799
"sex","Female",-0.0931271941808296,-0.0103355436851493,0.0931271941808296,0.0103355436851493
"sex","Male",0.0931271941808297,0.0103355436851493,0.0931271941808297,0.0103355436851493
"sod1","",-0.0921980713739049,0.0181784655313792,0.0921980713739049,0.0181784655313792
"surv2md1","",-0.198497636695754,0.0184254167825481,0.198497636695754,0.0184254167825481
"temp1","",-0.0213708345965378,0.0122582182275292,0.0213708345965378,0.0122582182275292
"transhx","",0.169783778756503,0.0117437743721141,0.169783778756503,0.0117437743721141
"trauma","No",-0.104011587196785,-0.00625815361000048,0.104011587196785,0.00625815361000048
"trauma","Yes",0.104011587196786,0.00625815361000031,0.104011587196786,0.00625815361000031
"wblc1","",0.0835579537096833,0.00695688621698724,0.0835579537096833,0.00695688621698724
"wtkilo1","",0.25567941319831,0.0105687756914187,0.25567941319831,0.0105687756914187
